College,no_need,pell,middle
Denison University (OH),0.47,0.14,0.39
Dickinson College (PA),0.46,0.16,0.38
Macalester College (MN),0.47,0.19,0.34
Carleton College (MN),0.52,0.14,0.34
Gettysburg College (PA),0.47,0.21,0.32
Franklin & Marshall & (PA),0.52,0.19,0.29
Trinity College (CT),0.57,0.14,0.29
Connecticut College (CT),0.56,0.16,0.28
Washington & Lee University (VA),0.63,0.10,0.27
Skidmore College (NY),0.58,0.15,0.27
Davidson College (NC),0.57,0.16,0.27
Rhodes College (TN),0.59,0.14,0.27
Kenyon College (OH),0.64,0.10,0.26
Hamilton College (NY),0.57,0.18,0.25
Bucknell University (PA),0.67,0.10,0.23
Bates College (ME),0.68,0.10,0.22
Lafayette College (PA),0.71,0.09,0.20
Colby College (ME),0.66,0.15,0.19
Colorado College (CO),0.69,0.14,0.17
Colgate University (NY),0.72,0.11,0.17
University of Richmond  (VA),0.68,0.17,0.15